Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 773",6.395224006436e-01,2.124970177011e-03,-1.134137703645e-05,2.136311554047e-03,-1.073826465542e-03
"                 774",6.395394946862e-01,2.128675906154e-03,-1.193688006040e-05,2.140612786215e-03,-1.076274833138e-03
"                 775",6.395566880284e-01,2.129925055119e-03,-1.442948391043e-05,2.144354539029e-03,-1.079392011470e-03
"                 776",6.395804612882e-01,2.142260619731e-03,-1.908583739695e-05,2.161346457128e-03,-1.090216147262e-03
"                 777",6.396194930756e-01,2.141652611010e-03,-2.027771454574e-05,2.161930325556e-03,-1.091104020051e-03
"                 778",6.396502820683e-01,2.156876516600e-03,-2.763097362556e-05,2.184507490226e-03,-1.106069231926e-03
"                 779",6.396886704485e-01,2.156763771450e-03,-2.858740487756e-05,2.185351176328e-03,-1.106969290603e-03
"                 780",6.397090509136e-01,2.173655556973e-03,-3.666315842249e-05,2.210318715396e-03,-1.123490936909e-03
"                 781",6.397391505039e-01,2.172809795810e-03,-3.729573303664e-05,2.210105528847e-03,-1.123700630942e-03
"                 782",6.397576220416e-01,2.180488737353e-03,-4.053951963839e-05,2.221028256991e-03,-1.130783888315e-03
"                 783",6.397766181467e-01,2.173577599298e-03,-3.791697280716e-05,2.211494572105e-03,-1.124705772456e-03
"                 784",6.397797799266e-01,2.177769999580e-03,-3.938018101796e-05,2.217150180598e-03,-1.128265180808e-03
"                 785",6.397901662300e-01,2.165356771380e-03,-3.379471777870e-05,2.199151489158e-03,-1.116473103468e-03
"                 786",6.397869600207e-01,2.162376978964e-03,-3.167146256400e-05,2.194048441528e-03,-1.112859952046e-03
"                 787",6.397850234554e-01,2.147983254140e-03,-2.455612459390e-05,2.172539378734e-03,-1.098547751664e-03
"                 788",6.397739871709e-01,2.141613014820e-03,-2.041385688024e-05,2.162026871701e-03,-1.091220364290e-03
"                 789",6.397765639017e-01,2.125450502386e-03,-1.351556980297e-05,2.138966072189e-03,-1.076240820996e-03
"                 790",6.397776732045e-01,2.123731969632e-03,-1.196566705153e-05,2.135697636684e-03,-1.073831651868e-03
"                 791",6.397917966916e-01,2.115033927881e-03,-8.485752874316e-06,2.123519680756e-03,-1.066002716815e-03
"                 792",6.397994768185e-01,2.122560380938e-03,-1.171993491495e-05,2.134280315853e-03,-1.073000125384e-03
"                 793",6.398246416904e-01,2.119235826487e-03,-1.128027137035e-05,2.130516097858e-03,-1.070898184614e-03
"                 794",6.398492548835e-01,2.130167804221e-03,-1.638322415973e-05,2.146551028381e-03,-1.081467126270e-03
"                 795",6.398844696177e-01,2.132291848640e-03,-1.804787240382e-05,2.150339721044e-03,-1.084193796724e-03
"                 796",6.399127759732e-01,2.144016949632e-03,-2.288357872446e-05,2.166900528357e-03,-1.094892053541e-03
"                 797",6.399441808848e-01,2.149289449380e-03,-2.830871970032e-05,2.177598169080e-03,-1.102953444390e-03
"                 798",6.399752470334e-01,2.158609462504e-03,-3.065287856681e-05,2.189262341070e-03,-1.109957609819e-03
"                 799",6.399995598504e-01,2.156556093213e-03,-3.133849202909e-05,2.187894585242e-03,-1.109616538636e-03
"                 800",6.400109366093e-01,2.167879697342e-03,-3.693306286025e-05,2.204812760202e-03,-1.120872911531e-03
"                 801",6.400319648018e-01,2.159003263121e-03,-3.274391829696e-05,2.191747181418e-03,-1.112245549857e-03
"                 802",6.400389459306e-01,2.156805577811e-03,-3.021294201725e-05,2.187018519829e-03,-1.108615730923e-03
"                 803",6.400387685020e-01,2.149157277464e-03,-2.890823761294e-05,2.178065515077e-03,-1.103486876345e-03
"                 804",6.400338276903e-01,2.145882326046e-03,-2.469756548818e-05,2.170579891534e-03,-1.097638728511e-03
"                 805",6.400301937356e-01,2.130815534461e-03,-1.870575452844e-05,2.149521288990e-03,-1.084113521759e-03
"                 806",6.400221812617e-01,2.125323792011e-03,-1.466749152595e-05,2.139991283537e-03,-1.077329387532e-03
"                 807",6.400184895501e-01,2.111156551060e-03,-8.891249356640e-06,2.120047800416e-03,-1.064469524886e-03
"                 808",6.400138269488e-01,2.112942558680e-03,-8.683795637459e-06,2.121626354318e-03,-1.065155074978e-03
"                 809",6.400265711381e-01,2.106432687092e-03,-6.901913018580e-06,2.113334600111e-03,-1.060118256565e-03
"                 810",6.400394623729e-01,2.112013676514e-03,-8.472313474322e-06,2.120485989988e-03,-1.064479151731e-03
